l,lambda,best_val_acc
-2.59028122,2.56873189e-03,0.520800
-2.31445531,4.84779991e-03,0.517800
-2.26419111,5.44263102e-03,0.515800
-2.20449990,6.24453488e-03,0.514600
-2.38817179,4.09098809e-03,0.513000
-2.74223667,1.81035327e-03,0.512800
-2.36997624,4.26602859e-03,0.510000
-2.72756914,1.87253897e-03,0.509400
